DATE,IPB50001N
1941-05-01,11.0195
1941-06-01,11.2076
1941-07-01,11.2345
1941-08-01,11.4227
1941-09-01,11.5302
1941-10-01,11.6914
1941-11-01,11.7721
1941-12-01,11.9064
1942-01-01,12.1215
1942-02-01,12.2827
1942-03-01,12.3902
1942-04-01,11.9871
1942-05-01,12.0408
1942-06-01,12.1483
1942-07-01,12.3634
1942-08-01,12.7934
1942-09-01,13.089
1942-10-01,13.5459
1942-11-01,13.8685
1942-12-01,14.1641
1943-01-01,14.3254
1943-02-01,14.6748
1943-03-01,14.836
1943-04-01,14.9973
1943-05-01,15.1317
1943-06-01,15.1317
1943-07-01,15.4273
1943-08-01,15.7767
1943-09-01,16.0992
1943-10-01,16.3411
1943-11-01,16.5024
1943-12-01,16.2605
1944-01-01,16.583
1944-02-01,16.798
1944-03-01,16.8249
1944-04-01,16.8249
1944-05-01,16.798
1944-06-01,16.8249
1944-07-01,16.583
1944-08-01,16.7443
1944-09-01,16.5024
1944-10-01,16.5024
1944-11-01,16.368
1944-12-01,16.2605
1945-01-01,16.2874
1945-02-01,16.3411
1945-03-01,16.2874
1945-04-01,16.0186
1945-05-01,15.6692
1945-06-01,15.3735
1945-07-01,14.836
1945-08-01,13.2503
1945-09-01,12.014
1945-10-01,11.4764
1945-11-01,11.9064
1945-12-01,11.8796
1946-01-01,11.3689
1946-02-01,10.8582
1946-03-01,12.014
1946-04-01,11.7721
1946-05-01,11.342
1946-06-01,12.1215
1946-07-01,12.3902
1946-08-01,12.8471
1946-09-01,13.089
1946-10-01,13.2503
1946-11-01,13.304
1946-12-01,13.2772
1947-01-01,13.5459
1947-02-01,13.8147
1947-03-01,13.8685
1947-04-01,13.5997
1947-05-01,13.5191
1947-06-01,13.6266
1947-07-01,12.8471
1947-08-01,13.8147
1947-09-01,14.1641
1947-10-01,14.5672
1947-11-01,14.4597
1947-12-01,14.191
1948-01-01,14.2716
1948-02-01,14.4329
1948-03-01,14.2179
1948-04-01,14.0835
1948-05-01,14.191
1948-06-01,14.4597
1948-07-01,13.8147
1948-08-01,14.621
1948-09-01,14.8629
1948-10-01,15.1854
1948-11-01,14.6748
1948-12-01,14.2179
1949-01-01,14.0566
1949-02-01,14.0835
1949-03-01,13.8147
1949-04-01,13.5191
1949-05-01,13.2503
1949-06-01,13.304
1949-07-01,12.6321
1949-08-01,13.7072
1949-09-01,14.0566
1949-10-01,13.7609
1949-11-01,13.7072
1949-12-01,13.6266
1950-01-01,13.976
1950-02-01,14.1641
1950-03-01,14.621
1950-04-01,14.9704
1950-05-01,15.1048
1950-06-01,15.6961
1950-07-01,15.2392
1950-08-01,16.9593
1950-09-01,17.0937
1950-10-01,17.5506
1950-11-01,16.9593
1950-12-01,16.9324
1951-01-01,17.0399
1951-02-01,17.4162
1951-03-01,17.5506
1951-04-01,17.3624
1951-05-01,17.0668
1951-06-01,17.2549
1951-07-01,15.9917
1951-08-01,16.8518
1951-09-01,17.2549
1951-10-01,17.3893
1951-11-01,17.1743
1951-12-01,16.9324
1952-01-01,17.2012
1952-02-01,17.6043
1952-03-01,17.7118
1952-04-01,17.2549
1952-05-01,16.9593
1952-06-01,17.013
1952-07-01,15.7767
1952-08-01,17.7656
1952-09-01,18.76
1952-10-01,19.1363
1952-11-01,19.1363
1952-12-01,18.8407
1953-01-01,19.0288
1953-02-01,19.5395
1953-03-01,19.7814
1953-04-01,19.5932
1953-05-01,19.5932
1953-06-01,19.647
1953-07-01,18.6794
1953-08-01,19.5932
1953-09-01,19.4857
1953-10-01,19.5932
1953-11-01,18.6794
1953-12-01,17.9269
1954-01-01,18.0075
1954-02-01,18.2763
1954-03-01,18.1956
1954-04-01,17.9806
1954-05-01,18.0075
1954-06-01,18.2225
1954-07-01,17.1474
1954-08-01,18.0075
1954-09-01,18.3838
1954-10-01,18.7869
1954-11-01,18.8407
1954-12-01,18.76
1955-01-01,19.217
1955-02-01,19.7276
1955-03-01,20.1845
1955-04-01,20.3458
1955-05-01,20.507
1955-06-01,20.7489
1955-07-01,19.5932
1955-08-01,20.5877
1955-09-01,21.0983
1955-10-01,21.7434
1955-11-01,21.5284
1955-12-01,21.2058
1956-01-01,21.2596
1956-02-01,21.4746
1956-03-01,21.5015
1956-04-01,21.6359
1956-05-01,21.3133
1956-06-01,21.4209
1956-07-01,19.3782
1956-08-01,21.2058
1956-09-01,21.9853
1956-10-01,22.4153
1956-11-01,21.9853
1956-12-01,21.7703
1957-01-01,21.7703
1957-02-01,22.3078
1957-03-01,22.3347
1957-04-01,21.8778
1957-05-01,21.7165
1957-06-01,22.1734
1957-07-01,20.8564
1957-08-01,22.0659
1957-09-01,22.1197
1957-10-01,21.9853
1957-11-01,21.2058
1957-12-01,20.292
1958-01-01,20.0233
1958-02-01,19.8082
1958-03-01,19.5932
1958-04-01,19.217
1958-05-01,19.3245
1958-06-01,20.2383
1958-07-01,19.2707
1958-08-01,20.6145
1958-09-01,21.3133
1958-10-01,21.5284
1958-11-01,21.824
1958-12-01,21.3671
1959-01-01,21.7434
1959-02-01,22.4153
1959-03-01,22.8991
1959-04-01,23.3291
1959-05-01,23.5979
1959-06-01,24.0548
1959-07-01,22.0928
1959-08-01,22.2272
1959-09-01,22.6572
1959-10-01,22.6841
1959-11-01,22.3347
1959-12-01,23.141
1960-01-01,23.8129
1960-02-01,23.9473
1960-03-01,23.8935
1960-04-01,23.7054
1960-05-01,23.6516
1960-06-01,23.7054
1960-07-01,22.2809
1960-08-01,23.0335
1960-09-01,23.3829
1960-10-01,23.4904
1960-11-01,22.6572
1960-12-01,21.6627
1961-01-01,21.7703
1961-02-01,22.0121
1961-03-01,22.3078
1961-04-01,22.8722
1961-05-01,23.2216
1961-06-01,23.8935
1961-07-01,22.6841
1961-08-01,23.8398
1961-09-01,24.4042
1961-10-01,24.9686
1961-11-01,24.7536
1961-12-01,24.3773
1962-01-01,24.1892
1962-02-01,24.9417
1962-03-01,25.318
1962-04-01,25.4255
1962-05-01,25.4255
1962-06-01,25.7749
1962-07-01,24.4848
1962-08-01,25.2642
1962-09-01,26.2318
1962-10-01,26.3393
1962-11-01,25.8555
1962-12-01,25.2105
1963-01-01,25.4255
1963-02-01,26.2587
1963-03-01,26.6081
1963-04-01,26.8231
1963-05-01,27.0919
1963-06-01,27.6025
1963-07-01,25.7749
1963-08-01,26.5275
1963-09-01,27.71
1963-10-01,28.1669
1963-11-01,27.6563
1963-12-01,26.8769
1964-01-01,27.2263
1964-02-01,28.0326
1964-03-01,28.1669
1964-04-01,28.6238
1964-05-01,28.7582
1964-06-01,29.2151
1964-07-01,27.495
1964-08-01,28.5701
1964-09-01,29.7258
1964-10-01,29.4839
1964-11-01,29.6721
1964-12-01,29.2958
1965-01-01,29.7795
1965-02-01,30.559
1965-03-01,31.204
1965-04-01,31.204
1965-05-01,31.4459
1965-06-01,32.1985
1965-07-01,30.4515
1965-08-01,31.3922
1965-09-01,32.4404
1965-10-01,33.1929
1965-11-01,32.6554
1965-12-01,32.1178
1966-01-01,32.5748
1966-02-01,33.4886
1966-03-01,34.1605
1966-04-01,34.1067
1966-05-01,34.3486
1966-06-01,35.128
1966-07-01,32.951
1966-08-01,34.1336
1966-09-01,35.7193
1966-10-01,36.0956
1966-11-01,35.128
1966-12-01,34.2411
1967-01-01,34.4561
1967-02-01,34.8115
1967-03-01,34.7582
1967-04-01,34.9554
1967-05-01,34.671
1967-06-01,35.4641
1967-07-01,33.1313
1967-08-01,34.947
1967-09-01,35.9692
1967-10-01,36.195
1967-11-01,36.0605
1967-12-01,35.4395
1968-01-01,35.511
1968-02-01,36.4369
1968-03-01,36.7628
1968-04-01,36.5722
1968-05-01,37.0912
1968-06-01,38.0588
1968-07-01,35.6284
1968-08-01,36.6946
1968-09-01,38.1555
1968-10-01,38.2912
1968-11-01,38.1116
1968-12-01,37.021
1969-01-01,37.3799
1969-02-01,38.5041
1969-03-01,38.9972
1969-04-01,38.646
1969-05-01,38.5616
1969-06-01,39.8063
1969-07-01,37.4311
1969-08-01,38.9038
1969-09-01,40.1146
1969-10-01,40.0728
1969-11-01,38.9182
1969-12-01,37.6137
1970-01-01,37.0306
1970-02-01,37.9551
1970-03-01,38.057
1970-04-01,37.7895
1970-05-01,37.8074
1970-06-01,38.5761
1970-07-01,36.3268
1970-08-01,37.527
1970-09-01,38.3594
1970-10-01,37.4744
1970-11-01,36.4639
1970-12-01,36.1228
1971-01-01,36.5857
1971-02-01,37.5381
1971-03-01,37.5991
1971-04-01,37.6639
1971-05-01,37.93
1971-06-01,38.935
1971-07-01,36.404
1971-08-01,37.642
1971-09-01,39.3611
1971-10-01,39.5588
1971-11-01,38.8116
1971-12-01,37.7619
1972-01-01,39.0407
1972-02-01,40.2495
1972-03-01,40.7115
1972-04-01,41.2516
1972-05-01,41.3176
1972-06-01,42.3299
1972-07-01,39.813
1972-08-01,41.5014
1972-09-01,43.1295
1972-10-01,43.7915
1972-11-01,43.5379
1972-12-01,42.9315
1973-01-01,42.9213
1973-02-01,44.4823
1973-03-01,44.7144
1973-04-01,44.5431
1973-05-01,44.9827
1973-06-01,46.071
1973-07-01,43.907
1973-08-01,44.5923
1973-09-01,46.3612
1973-10-01,46.8022
1973-11-01,46.2884
1973-12-01,44.9129
1974-01-01,44.3978
1974-02-01,45.1368
1974-03-01,45.4183
1974-04-01,44.8507
1974-05-01,45.7323
1974-06-01,46.6693
1974-07-01,44.4476
1974-08-01,44.9374
1974-09-01,46.1035
1974-10-01,46.0226
1974-11-01,43.8021
1974-12-01,41.4835
1975-01-01,40.5091
1975-02-01,40.3506
1975-03-01,39.9872
1975-04-01,40.1005
1975-05-01,39.9437
1975-06-01,41.1346
1975-07-01,39.4009
1975-08-01,40.976
1975-09-01,42.335
1975-10-01,42.5095
1975-11-01,41.9959
1975-12-01,41.7351
1976-01-01,42.0533
1976-02-01,43.3232
1976-03-01,43.6627
1976-04-01,43.3142
1976-05-01,44.0792
1976-06-01,45.0898
1976-07-01,42.9699
1976-08-01,44.1756
1976-09-01,45.1848
1976-10-01,45.4037
1976-11-01,45.3712
1976-12-01,45.0687
1977-01-01,44.5485
1977-02-01,46.1613
1977-03-01,47.1219
1977-04-01,47.1279
1977-05-01,47.7358
1977-06-01,49.1943
1977-07-01,46.797
1977-08-01,47.5052
1977-09-01,48.8163
1977-10-01,49.0974
1977-11-01,48.3662
1977-12-01,47.7282
1978-01-01,46.8559
1978-02-01,48.14
1978-03-01,49.2802
1978-04-01,50.2976
1978-05-01,50.2369
1978-06-01,51.6545
1978-07-01,49.0243
1978-08-01,50.1103
1978-09-01,51.3943
1978-10-01,51.9775
1978-11-01,51.5022
1978-12-01,51.1007
1979-01-01,50.4333
1979-02-01,51.9052
1979-03-01,52.6481
1979-04-01,51.0239
1979-05-01,51.9052
1979-06-01,52.9535
1979-07-01,50.3887
1979-08-01,51.0766
1979-09-01,52.06
1979-10-01,52.4035
1979-11-01,51.6169
1979-12-01,51.1682
1980-01-01,51.1181
1980-02-01,52.121
1980-03-01,52.418
1980-04-01,50.6174
1980-05-01,49.2964
1980-06-01,49.6222
1980-07-01,47.2267
1980-08-01,48.7007
