date,overall,mining,mfg,electric,mfg_food,mfg_textiles,mfg_wood,mfg_petroleum,mfg_metal,mfg_electric,mfg_transport,overall_sa,mining_sa,mfg_sa,electric_sa
1/1/2015,101.0288898,107.2356773,99.03533786,98.01299124,90.59667802,93.73566598,93.38446597,101.6918502,99.61001026,99.32609288,105.8054317,101.0109729,100.4412019,101.5312203,98.86325083
1/2/2015,90.81159021,96.26192973,89.00452155,88.74609773,80.89941207,91.80158757,89.91677428,95.84397428,90.32199087,81.00618673,98.266472,98.80758738,99.43308517,98.466708,99.98717388
1/3/2015,101.6600192,107.7443087,99.18202223,104.1089376,92.65103865,97.59207297,99.31796173,103.054673,100.9473615,95.43555054,104.2565215,98.56740333,100.9335061,97.58035182,100.0691711
1/4/2015,97.04095038,96.05061981,97.00673105,101.1577704,101.7454932,100.7011534,98.99994444,94.53935348,100.3541012,93.33540215,102.5791004,98.37738716,99.23556762,98.43635523,98.96019686
1/5/2015,100.6770583,103.5039212,99.45091367,102.587036,102.515199,108.457943,96.98542334,100.8999756,99.40897997,96.84131678,97.95039544,100.1573968,102.3403241,99.84007069,98.41692041
1/6/2015,100.9049149,96.87521165,102.5646316,99.09197672,105.2533937,94.91060576,98.99871918,101.2825566,102.8404841,103.8933758,103.0947432,99.90965849,100.149769,100.121101,98.40031803
1/7/2015,100.4204174,100.0812285,100.5704955,100.160741,98.9057553,95.34734098,98.29464602,100.6780534,101.9042042,104.0477376,92.69918551,100.1117595,99.01409233,101.0248108,99.16289302
1/8/2015,98.20555753,91.26832631,100.3891405,102.0364211,111.0377703,93.53121592,97.83388854,96.00275464,98.53023179,102.8187641,99.14503116,99.46395448,93.36041027,100.5088701,99.94654969
1/9/2015,101.531373,96.82709894,103.4011187,100.1146889,107.2214906,102.1634936,105.4433354,99.27069615,101.7844581,108.6119261,97.34808952,101.3189535,101.532953,101.2054488,101.1948904
1/10/2015,104.5891002,100.1156437,106.3145355,103.7844305,109.2653373,105.6186461,107.1666278,106.9658507,102.3525127,107.7781619,100.8316569,100.7641637,98.85184963,101.623721,101.5259396
