date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio,lf_size_sa,employed_sa,unemployed_sa,u_rate_sa,p_rate_sa,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30,employed_employer,employed_employee,employed_ownaccount,employed_unpaidfamily,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2013-06-01,14217.139,13816.916,400.223,6668.594,2.82,68.07,66.15,14232.8,13838.3,392.6,2.8,68.2,,,,,,,,,,,,,,
2013-07-01,14194.59,13762.996,431.594,6655.91,3.04,68.08,66.01,14119.5,13683.2,434.0,3.1,67.7,,,,,,,,,,,,,,
2013-08-01,14176.635,13734.204,442.431,6689.846,3.12,67.94,65.82,14200.8,13730.9,451.5,3.2,68.0,,,,,,,,,,,,,,
2013-09-01,14309.448,13859.525,449.923,6557.257,3.14,68.58,66.42,14295.2,13852.9,450.0,3.1,68.5,,,,,,,,,,,,,,
2013-10-01,14169.212,13699.116,470.096,6746.332,3.32,67.74,65.5,14214.8,13743.2,481.1,3.4,67.9,,,,,,,,,,,,,,
2013-11-01,14220.894,13730.394,490.5,6716.184,3.4,67.92,65.58,14279.3,13773.3,510.8,3.6,68.2,,,,,,,,,,,,,,
2013-12-01,14276.541,13836.231,440.31,6724.25,3.08,67.98,65.88,14248.6,13816.1,437.2,3.1,67.8,,,,,,,,,,,,,,
2014-01-01,14244.393,13775.864,468.529,6734.679,3.29,67.9,65.66,14243.3,13795.5,444.1,3.1,67.8,,,,,,,,,,,,,,
2014-02-01,14249.936,13787.967,461.969,6808.745,3.24,67.67,65.47,14275.9,13820.1,445.8,3.1,67.9,,,,,,,,,,,,,,
2014-03-01,14198.39,13768.301,430.089,6956.085,3.03,67.12,65.08,14160.8,13738.1,427.2,3.0,67.0,,,,,,,,,,,,,,
2014-04-01,14206.672,13793.201,413.471,6849.354,2.91,67.47,65.51,14173.1,13757.5,422.4,3.0,67.4,,,,,,,,,,,,,,
2014-05-01,14430.2,14023.0,407.2,6693.2,2.82,68.31,66.39,14470.8,14060.1,411.3,2.8,68.6,,,,,,,,,,,,,,
2014-06-01,14373.4,13967.0,406.4,6826.6,2.83,67.8,65.88,14376.6,13970.9,404.0,2.8,67.8,,,,,,,,,,,,,,
2014-07-01,14333.4,13935.8,397.6,6846.2,2.77,67.68,65.8,14289.4,13888.2,399.6,2.8,67.5,,,,,,,,,,,,,,
2014-08-01,14266.298,13881.378,384.92,6934.102,2.7,67.29,65.48,14268.0,13861.9,391.0,2.7,67.3,,,,,,,,,,,,,,
2014-09-01,14440.166,14058.402,381.764,6763.716,2.64,68.1,66.3,14415.2,14036.1,381.9,2.6,68.0,,,,,,,,,,,,,,
2014-10-01,14403.142,14023.254,379.888,6926.72,2.64,67.53,65.74,14436.8,14054.6,385.1,2.7,67.7,,,,,,,,,,,,,,
2014-11-01,14404.1,14025.4,378.7,6887.1,2.63,67.65,65.87,14436.2,14046.6,393.9,2.7,67.8,,,,,,,,,,,,,,
2014-12-01,14511.989,14060.24,451.749,6784.814,3.11,68.14,66.02,14500.1,14055.7,449.4,3.1,68.0,,,,,,,,,,,,,,
2015-01-01,14442.0,13991.8,450.3,6923.7,3.12,67.59,65.49,14458.4,14023.9,431.1,3.0,67.6,,,,,,,,,,,,,,
2015-02-01,14554.7,14092.9,461.8,6847.8,3.17,68.0,65.85,14561.5,14109.1,444.8,3.1,68.1,,,,,,,,,,,,,,
2015-03-01,14601.2,14160.5,440.7,6839.3,3.02,68.1,66.05,14574.3,14143.1,436.8,3.0,68.0,,,,,,,,,,,,,,
2015-04-01,14569.5,14136.2,433.3,6890.2,2.97,67.89,65.87,14558.8,14125.3,440.1,3.0,67.9,,,,,,,,,,,,,,
2015-05-01,14575.0,14126.7,448.3,6933.5,3.08,67.76,65.68,14605.0,14151.8,453.1,3.1,68.0,,,,,,,,,,,,,,
2015-06-01,14609.9,14146.7,463.2,6896.2,3.17,67.93,65.78,14600.5,14133.6,464.2,3.2,67.9,,,,,,,,,,,,,,
2015-07-01,14579.1,14106.2,472.9,6937.7,3.24,67.76,65.56,14563.4,14088.5,473.4,3.3,67.7,,,,,,,,,,,,,,
2015-08-01,14685.1,14214.6,470.5,6871.5,3.2,68.12,65.94,14678.0,14190.0,476.5,3.2,68.1,,,,,,,,,,,,,,
2015-09-01,14642.0,14151.7,490.3,6925.4,3.3,67.89,65.62,14619.1,14128.4,492.4,3.4,67.8,,,,,,,,,,,,,,
2015-10-01,14665.9,14184.7,481.3,6894.8,3.28,68.02,65.79,14688.0,14202.2,487.6,3.3,68.1,,,,,,,,,,,,,,
2015-11-01,14687.2,14215.7,471.5,6945.0,3.21,67.9,65.72,14701.0,14219.9,488.0,3.3,68.0,,,,,,,,,,,,,,
2015-12-01,14690.0,14185.7,504.3,6945.3,3.43,67.9,65.57,14685.2,14189.8,501.7,3.4,67.8,,,,,,,,,,,,,,
2016-01-01,14652.0,14150.5,501.5,6984.2,3.42,67.72,65.4,14677.1,14188.7,482.7,3.3,67.7,283.6,10.7,402.8,6.9,449.0,10534.1,2570.3,597.1,361.90000000000003,180.3,110.0,36.0,35.6,139.7
2016-02-01,14703.3,14196.9,506.4,7063.1,3.44,67.55,65.22,14697.5,14202.8,488.1,3.3,67.6,236.1,9.0,340.6,5.7,543.9,10582.3,2437.5,633.1,254.0,115.8,83.7,34.9,19.6,252.4
