date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio,lf_size_sa,employed_sa,unemployed_sa,u_rate_sa,p_rate_sa,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30,employed_employer,employed_employee,employed_ownaccount,employed_unpaidfamily,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2020-04-01,15712.192,14933.4,778.79,7345.11,4.96,68.14,64.77,15713.928532138536,14943.711160700883,765.7,4.9,68.2,324.2,12.9,528.0,9.0,563.1,11146.3,2585.4,638.5,459.8,235.9,156.6,38.1,29.2,319.0
2020-05-01,15714.0,14887.9,826.1,7392.062,5.256665843406812,68.00805902670542,64.43310540567035,15715.885906308757,14895.943809657214,815.0,5.2,68.1,362.4,14.2,573.7,10.0,470.3,11399.4,2423.9,594.1,573.7,308.1,136.1,78.6,50.8,252.4
2020-06-01,15763.451,14990.2,773.247,7398.469,4.9,68.1,64.7,15788.554802135393,15008.364120585906,754.8,4.8,68.2,335.8,13.1,581.7,9.7,497.9,11438.2,2417.8,636.2,594.0,298.7,159.3,85.8,50.3,179.2
2020-07-01,15818.5,15073.406,745.1,7399.8,4.7,68.1,64.9,15818.816376327526,15086.380287046863,729.7,4.6,68.1,313.2,13.9,544.5,9.7,434.8,11647.4,2380.9,610.4,620.2,307.4,168.5,87.2,57.1,124.9
2020-08-01,15895.092,15153.5,741.6,7351.5,4.7,68.4,65.18587664432648,15889.062156380574,15167.757692230696,733.5,4.6,68.3,331.0,13.7,502.3,8.9,434.9,11719.9,2416.0,582.8,615.1,302.4,164.9,89.7,58.0,126.5
2020-09-01,15930.6,15193.1,737.5,7359.8,4.6,68.4,65.2,15920.91061720499,15179.662710306518,740.5,4.7,68.4,325.5,13.0,502.6,8.5,445.1,11734.9,2433.7,579.5,610.4,300.5,163.6,88.2,58.0,127.1
2020-10-01,15955.3,15207.1,748.2,7347.7,4.7,68.5,65.3,15951.152700297922,15189.025060178388,764.1,4.8,68.4,321.6,13.4,513.2,8.9,450.5,11763.0,2425.4,568.3,623.1,304.5,167.4,89.0,62.2,125.1
2020-11-01,15960.5,15196.1,764.392,7374.824,4.7892711184380845,68.4,65.12065411629592,15952.36429420995,15183.801121091914,784.1,4.9,68.4,344.5,13.0,528.4,8.8,456.8,11782.5,2412.0,544.7,637.7,311.2,169.8,90.4,66.3,126.7
2020-12-01,15988.3,15215.4,772.891,7372.186,4.8,68.4,65.12065411629592,15988.939557582304,15194.245998062692,795.6,5.0,68.4,312.2,13.2,497.2,8.7,462.9,11806.1,2399.4,547.0,644.7,313.9,172.0,92.0,66.8,128.2
2021-01-01,16019.8,15237.3,782.5,7366.2,4.9,68.5,65.2,16016.276419187778,15219.177179156804,790.4,4.9,68.4,295.3,13.5,509.2,9.2,469.7,11846.9,2394.6,526.1,657.2,321.5,175.9,90.4,69.3,125.3
2021-02-01,16048.2,15270.6,777.5,7371.4,4.8,68.5,65.2,16027.962766913688,15261.021556419457,782.9,4.9,68.5,347.6,13.9,544.3,9.2,481.0,11870.8,2429.9,488.9,647.4,327.8,155.5,91.0,73.1,130.1
2021-03-01,16082.5,15329.3,753.2,7363.7,4.7,68.6,65.4,16104.240724978723,15352.195771699831,749.1,4.7,68.7,321.1,13.4,537.3,9.3,491.8,11898.9,2478.2,460.4,626.9,320.1,152.5,85.6,68.6,126.3
2021-04-01,16094.7,15352.0,742.7,7376.8,4.6,68.6,65.4,16096.470611767294,15362.600194133953,730.2,4.5,68.6,310.7,13.7,507.3,8.7,493.0,11914.8,2490.5,453.8,618.7,322.6,151.0,80.7,64.4,124.0
2021-05-01,16098.9,15370.8,728.1,7398.0,4.5,68.5,65.4,16100.848101772212,15379.0967122246,718.3,4.5,68.6,328.1,13.6,545.7,9.2,495.7,11930.8,2492.9,451.4,609.9,318.2,148.3,81.2,62.2,118.2
2021-06-01,16066.2,15297.5,768.7,7456.8,4.8,68.3,65.0,16091.785939644034,15316.032399203035,750.4,4.7,68.4,340.9,12.7,565.1,9.4,486.3,11874.1,2497.0,440.0,642.9,335.9,157.4,86.7,62.9,118.2
2021-07-01,16072.9,15294.8,778.2,7475.4,4.8,68.3,65.0,16073.221464429287,15307.936825670078,762.1,4.7,68.3,344.1,13.7,520.6,8.5,485.1,11869.7,2503.8,436.2,651.3,351.4,156.7,86.1,57.1,126.9
2021-08-01,16125.4,15376.6,748.8,7448.5,4.6,68.4,65.2,16119.274675623263,15391.070606369985,740.6,4.6,68.3,321.1,13.9,524.1,8.8,491.4,11897.6,2537.7,449.9,627.5,337.3,153.6,80.1,56.5,121.3
2021-09-01,16193.1,15463.5,729.6,7405.9,4.5,68.6,65.5,16182.743044451552,15449.286656276226,732.6,4.5,68.6,335.1,13.9,507.8,8.5,499.7,11925.9,2572.6,465.4,611.0,333.3,147.3,78.9,51.4,118.7
2021-10-01,16259.6,15554.6,705.0,7364.5,4.3,68.8,65.8,16255.341611181091,15536.115023122482,720.0,4.4,68.8,358.8,13.9,508.4,8.1,506.0,11971.2,2607.9,469.5,589.5,327.3,142.3,74.0,45.9,115.4
2021-11-01,16304.7,15610.3,694.4,7344.4,4.3,68.9,66.0,16296.38884169074,15597.66589062859,712.3,4.4,68.9,350.9,13.7,517.9,8.2,509.8,11998.3,2628.0,474.2,581.8,324.3,137.6,74.8,45.1,112.6
2021-12-01,16336.2,15648.6,687.6,7337.8,4.2,69.0,66.1,16336.892475699027,15626.894616483089,707.8,4.3,68.9,367.7,13.7,533.8,8.5,512.9,12015.9,2640.2,479.7,576.5,322.3,136.5,74.1,43.5,111.1
2022-01-01,16366.4,15686.1,680.4,7332.1,4.2,69.1,66.2,16350.259243349083,15651.643384553981,688.3,4.2,68.9,364.5,13.2,521.8,8.3,517.2,12028.9,2656.2,483.8,569.5,320.8,134.2,72.0,42.5,110.9
2022-02-01,16402.7,15730.9,671.8,7320.7,4.1,69.1,66.3,16392.553616757614,15720.245233241398,675.4,4.1,69.1,356.9,13.0,513.7,8.1,521.4,12046.2,2674.8,488.6,562.5,318.7,131.8,71.0,41.0,109.3
2022-03-01,16438.5,15769.4,669.2,7309.7,4.1,69.2,66.4,16437.185025197985,15768.138548916088,667.8,4.1,69.2,361.0,13.1,502.4,8.0,525.7,12060.2,2691.7,491.8,561.0,320.4,130.1,70.4,40.1,108.1
2022-04-01,16502.8,15853.5,649.3,7270.2,3.9,69.4,66.7,16507.1,15866.5,640.6,3.9,69.5,357.2,12.8,501.2,7.7,536.0,12092.5,2723.6,501.4,542.9,315.3,124.3,64.9,38.4,106.4
2022-05-01,16537.8,15900.0,637.7,7260.1,3.9,69.5,66.8,16553.2,15921.7,631.6,3.8,69.6,341.4,12.5,475.7,7.4,539.6,12112.6,2744.0,503.9,533.976,312.9,122.5,61.9,36.6,103.8
2022-06-01,16566.9,15936.3,630.6,7255.5,3.8,69.5,66.9,16620.9,16034.8,603.9,3.6,69.8,343.9,12.2,474.7,7.4,542.5,12125.6,2766.2,502.0,528.5,311.6,120.6,61.3,35.0,102.1
2022-07-01,16599.2,15978.4,620.7,7247.9,3.7,69.6,67.0,16611.0,15996.5,601.8,3.6,69.7,336.2,12.1,476.5,7.4,545.1,12144.9,2787.5,500.9,517.4,307.7,115.7,60.0,34.0,103.3
2022-08-01,16629.7,16017.7,612.0,7242.0,3.7,69.7,67.1,16647.2,16058.0,604.7,3.6,69.7,337.6,12.1,467.5,7.1,546.9,12167.0,2804.7,499.1,507.3,304.2,110.7,59.7,32.7,104.7
2022-09-01,16657.2,16052.2,605.0,7239.2,3.6,69.7,67.2,16640.1,16030.1,607.5,3.7,69.7,339.1,12.1,460.4,7.1,548.0,12182.7,2823.2,498.2,496.6,298.7,108.2,58.2,31.5,108.4
2022-10-01,16683.5,16081.5,602.0,7237.3,3.6,69.7,67.2,16656.8,16033.7,618.8,3.7,69.6,337.2,12.1,476.9,7.4,552.4,12200.4,2833.6,495.2,491.3,297.1,106.4,57.0,30.8,110.7
2022-11-01,16709.4,16108.6,600.9,7235.7,3.6,69.8,67.3,16686.4,16063.3,620.1,3.7,69.7,329.3,11.9,453.1,7.0,554.5,12214.6,2848.1,491.3,488.0,295.9,105.2,56.7,30.2,112.9
2022-12-01,16730.0,16130.4,599.6,7239.5,3.6,69.8,67.3,16719.8,16097.7,622.2,3.7,69.7,331.0,11.8,444.5,6.9,556.2,12225.5,2860.9,487.8,484.2,294.7,103.9,55.7,29.9,115.4
2023-01-01,16755.4,16159.3,596.1,7238.3,3.6,69.8,67.3,16739.664715167746,16128.977522258154,603.2607045631647,3.6037800925400405,69.69755706515738,328.8,11.5,449.7,7.0,558.1,12237.3,2877.8,486.1,481.6,292.9,103.7,54.1,31.0,114.5
2023-02-01,16781.2,16189.3,591.9,7236.7,3.5,69.9,67.4,16770.6,16176.4,594.3,3.5,69.8,320.8,11.3,450.2,7.0,560.3,12249.9,2892.5,486.6,475.5,290.3,102.4,52.9,30.0,116.4
2023-03-01,16811.7,16223.0,588.7,7230.6,3.5,69.9,67.5,16804.5,16221.9,586.8,3.5,69.9,317.3,11.2,454.9,7.1,561.8,12264.7,2909.1,487.4,472.9,289.7,101.9,51.1,30.1,115.8
2023-04-01,16838.4,16251.4,586.9,7228.2,3.5,70.0,67.5,16829.1,16250.4,582.9,3.5,69.9,315.6,11.1,441.0,6.7,565.0,12276.4,2921.0,489.0,471.9,288.7,101.8,50.5,30.8,115.1
2023-05-01,16864.1,16279.5,584.6,7226.8,3.5,70.0,67.6,16871.2,16293.3,578.5,3.4,70.0,313.0,11.0,448.6,7.0,566.6,12288.0,2935.0,490.0,470.4,286.6,100.2,52.2,31.4,114.2
2023-06-01,16889.4,16307.8,581.7,7225.7,3.4,70.0,67.6,16933.1,16381.7,560.3,3.3,70.2,312.4,11.0,444.8,6.9,569.4,12299.2,2948.5,490.7,466.9,285.2,99.6,51.3,30.8,114.8
2023-07-01,16914.2,16335.0,579.2,7225.0,3.4,70.1,67.7,16942.3,16368.7,565.8,3.3,70.2,311.2,10.9,444.8,6.8,570.9,12313.6,2958.9,491.6,464.7,284.7,99.1,51.8,29.1,114.5
