date,myr_usd,myr_rmb,myr_sgd,myr_eur,myr_jpy,myr_twd,myr_thb,myr_idr,myr_hkd,myr_krw,myr_vnd,myr_inr,myr_aud,myr_php,myr_aed,myr_sar,myr_try,myr_gbp,myr_brl,myr_mxn,myr_bdt,myr_chf,myr_cad,myr_rub
1/12/2003,0.263379693,2.177412973187643,0.4534608051340285,0.2201248489283074,28.753160605965604,8.359131933608523,10.50621579426479,2238.3060861399863,2.045143281223148,315.63423055889143,3980.457300782204,12.039085527329917,0.3628468625999161,14.609671893955236,0.9669985344243912,0.987621164,0.3535353364964528,0.1532527471031457,0.7698588683507239,2.9914665012045134,14.910451053285216,0.3418931781173455,0.3434998096671933,7.822377083972697
2/12/2003,0.263358861,2.177240752307995,0.4529772488124521,0.2178504488107808,28.63500986321992,8.359131933608523,10.494587003089691,2234.8895292223315,2.043506718924519,314.71383914351463,3970.134832710028,12.016801904023056,0.3628468625999161,14.60851635268864,0.9669220503856408,0.9875430490172974,0.3535353364964528,0.1522029797058479,0.7719048206935852,2.973321532991548,14.93402792121583,0.3389955193153753,0.3414710952730111,7.819124729913199
3/12/2003,0.2638383209705353,2.181177871461699,0.452772937,0.2176349552388323,28.573690966279628,8.359131933608523,10.502611833529729,2234.156621,2.047490858152088,314.6271977573633,3984.486323297024,12.017835318915218,0.3628468625999161,14.635111986303857,0.968682387,0.9893409272190824,0.3535353364964528,0.1526753277581605,0.7733101172549439,2.9668618891197696,14.980212155858226,0.3390850100610088,0.3430161928911168,7.833359890520057
4/12/2003,0.263247937,2.1762707471006597,0.4510753460131411,0.2179034869769847,28.50185325139023,8.359131933608523,10.495694965576943,2235.6331046670675,2.044462505866136,313.2913633539465,3971.621624976397,11.990417121208452,0.3628468625999161,14.48390161226655,0.9665147920276596,0.9871271052911011,0.3535353364964528,0.1529891733908517,0.7747386990714844,2.9452178464504186,14.935108760997764,0.3391949539744665,0.3452233592463294,7.813198849429455
5/12/2003,0.2638801038265228,2.181470446832094,0.4522904944354806,0.2165268256624042,28.39877749857874,8.359131933608523,10.505858501168518,2234.826884239039,2.0476303945527263,312.6187461185109,3981.686886638403,11.993087185089848,0.3628468625999161,14.579375736415386,0.968914938,0.9894976045710776,0.3535353364964528,0.1522588256959842,0.7742242286535088,2.9546654037640963,14.977570515129289,0.3357610497962859,0.3438093758504088,7.816128896798602
6/12/2003,0.2638801038265228,2.181470446832094,0.4522904944354806,0.2165268256624042,28.39877749857874,8.359131933608523,10.505858501168518,2234.826884239039,2.0476303945527263,312.6187461185109,3981.686886638403,11.993087185089848,0.3628468625999161,14.579375736415386,0.968914938,0.9894976045710776,0.3535353364964528,0.1522588256959842,0.7742242286535088,2.9546654037640963,14.977570515129289,0.3357610497962859,0.3438093758504088,7.816128896798602
7/12/2003,0.2638801038265228,2.181470446832094,0.4522904944354806,0.2165268256624042,28.39877749857874,8.359131933608523,10.505858501168518,2234.826884239039,2.0476303945527263,312.6187461185109,3981.686886638403,11.993087185089848,0.3628468625999161,14.579375736415386,0.968914938,0.9894976045710776,0.3535353364964528,0.1522588256959842,0.7742242286535088,2.9546654037640963,14.977570515129289,0.3357610497962859,0.3438093758504088,7.816128896798602
8/12/2003,0.2633311450481415,2.176984997224196,0.4505332426524084,0.2154917732702674,28.28439925396833,8.359131933608523,10.483476432489738,2236.3924669822154,2.044687325079224,312.2053991400935,3974.4569722115993,11.973667486788145,0.3628468625999161,14.488479721092176,0.9668992715668524,0.987439119,0.3535353364964528,0.151844637,0.7741935815094649,2.949835398430764,14.918236141774514,0.3337459001652618,0.3415141709532392,7.778802265808963
9/12/2003,0.2636852860450744,2.1799127163782828,0.451429213,0.2152542136863111,28.238056316922663,8.359131933608523,10.45538553447841,2234.548168030742,2.0471470531431635,311.86057493025146,3982.9662457108498,11.979486165937487,0.3628468625999161,14.507964558905542,0.9681996064433208,0.9887670768606682,0.3535353364964528,0.1510732052304675,0.7733889671054328,2.943255084376517,14.983653040247871,0.3330872651009287,0.3445575609615758,7.786626677969366
10/12/2003,0.2626395225524902,2.1712409850397307,0.4501641381483523,0.2154379516220217,28.46487073,8.359131933608523,10.474589430423292,2233.013799942564,2.038844316961104,308.96914074284723,3968.220546245575,11.91621735292756,0.3628468625999161,14.484570069525944,0.9643597721577636,0.9848456729508824,0.3535353364964528,0.1509599414464446,0.7726854523059501,2.9434010711361225,14.875114911319542,0.3332895681455738,0.3438739126511336,7.750492370637403
11/12/2003,0.2644663155078888,2.1863695653113098,0.4533217122696023,0.2163493090049559,28.55707363633769,8.359131933608523,10.45356016607252,2232.677580434276,2.052866884700549,309.39914896937626,3995.557094693184,12.01972992056551,0.3628468625999161,14.58531770380364,0.9710673903453326,0.9916957811144088,0.3535353364964528,0.1514519203822146,0.776473131,2.937956353455519,14.966148834945784,0.3355813174834487,0.3481170202332073,7.767375908415659
12/12/2003,0.2630540430545807,2.174694167240631,0.4499013216077827,0.2142312172043592,28.32565943639497,8.359131933608523,10.40299847,2228.4361230880604,2.041430889083415,308.6149904671984,3978.4293471574783,11.94844097643056,0.3628468625999161,14.554780683876288,0.9658818084951192,0.9863737635049432,0.3535353364964528,0.1505484517140445,0.7720636013131212,2.963303885,14.893330908148869,0.3319478832833624,0.3455214978447181,7.731158165
