Date,usd_myr,crude_oil,dow_jones,klci,exports_my,imports_my,ipi_my,cpi_my,m1_my,m2_my,opr_my,exports_us,imports_us,ipi_us,cpi_us,m1_us,m2_us,fedrate_us
2015-01-01,3.576840888370167,47.325500106811525,17542.2548828125,1757.499046688988,62971.400635,54641.285144,101.029,110.6,346300.43497325,1545765.70036925,3.25,120872.3566,181220.2675,102.346,233.707,2941.1,11759.0,0.11
2015-02-01,3.595490002632141,50.72473646465101,17945.412006578947,1808.754981994629,52473.779733999996,48643.971878000004,90.812,109.9,351432.0498228401,1552127.20332984,3.25,118233.7294,162949.7445,101.9134,234.722,2979.6,11847.1,0.11
2015-03-01,3.6792954314838755,47.854090603915125,17931.745028409092,1804.425908868963,65510.833005,58607.087941,101.66,110.9,360340.52635943005,1583077.52282843,3.25,133668.7633,198235.2918,101.8934,236.119,3023.9,11956.7,0.11
2015-04-01,3.6239681894128974,54.62809553600493,17970.513206845237,1845.5731867009943,60046.763429,53707.720377,97.041,111.9,351905.53964632,1572159.3226243204,3.25,128499.6472,190066.3605,99.622,236.599,3035.4,12004.7,0.12
2015-05-01,3.5983809403010776,59.37199993133545,18124.7130859375,1794.8157958984375,60419.471581,55076.89456,100.677,112.3,352321.26072091004,1567577.17818791,3.25,128206.2762,186571.0818,99.854,237.805,2975.9,11907.9,0.12
2015-06-01,3.7303681590340356,59.82863651622426,17927.21892755682,1728.286826393821,64309.892901,56498.955578,100.905,113.0,360586.34414978,1574349.84007978,3.25,130976.3398,197380.3869,102.2875,238.638,3020.7,11962.5,0.13
2015-07-01,3.7986565258191978,50.93000013178045,17795.0166015625,1717.3845381303267,63319.085653999995,60830.347311,100.42,113.9,347180.86542567,1560912.98047467,3.25,124242.8854,193673.8852,101.0565,238.654,3038.4,12012.9,0.13
2015-08-01,4.047438121977306,42.88904771350679,17061.593238467263,1623.388494873047,66572.612902,56332.681872,98.206,113.9,351492.87933129,1561341.62076029,3.25,122758.8798,189979.3087,103.3122,238.316,3022.3,12070.4,0.14
2015-09-01,4.3016864169727675,45.46523829868862,16339.949869791666,1617.7919982910157,70152.287958,60503.376192,101.531,113.6,357983.88368626003,1581305.81731726,3.25,124915.0799,191544.6209,101.0527,237.945,3016.3,12138.2,0.14
2015-10-01,4.2364091222936455,46.289545405994765,17182.28204900568,1689.5804734002977,75741.409616,63635.786035000005,104.589,114.1,351276.1414597,1575491.5711207,3.25,130301.5841,195248.9228,100.0854,237.838,3011.9,12171.5,0.12
2015-11-01,4.294580913725353,42.92300014495849,17724.513671875,1672.0600036621095,67563.449137,57384.93745,99.544,114.8,352369.04980552004,1583959.7534515199,3.25,120541.147,182176.1615,98.7737,237.336,3056.2,12297.9,0.12
2015-12-01,4.275265237559443,37.32727258855646,17542.854936079544,1659.7747628348213,68274.096386,59915.393156,103.587,114.8,360502.94251989,1595853.7572998903,3.25,120111.6611,179765.3195,98.1496,236.525,3141.1,12427.3,0.24
2016-01-01,4.333780947185698,31.7757894616378,16305.252107319078,1638.9799997430098,61850.814361,56455.203814,104.303,114.5,363454.2701183,1587778.9943163,3.25,107960.2975,165816.2296,99.0133,236.916,3094.0,12478.4,0.34
2016-02-01,4.16338096346174,30.616499996185304,16299.8984375,1659.1316663953994,56716.656428999995,49365.944097,94.629,114.5,366985.32896221,1603038.2058602101,3.25,113460.3766,168042.0842,98.4912,237.111,3096.6,12517.1,0.38
2016-03-01,4.045800001724906,37.960909063165836,17302.14275568182,1702.0065281080163,66554.989271,55390.987779,104.343,113.8,354187.04600438994,1604254.2174383898,3.25,125527.1126,178405.4091,97.6373,238.132,3179.8,12684.8,0.36
2016-04-01,3.8881333214896068,41.12476185389927,17844.365885416668,1711.5585763113838,61319.194254,52285.629768000006,99.762,114.3,348627.82033975003,1601667.16179175,3.25,118712.6501,173964.0418,97.1722,239.261,3234.5,12778.6,0.37
2016-05-01,4.040404558181763,46.796666644868395,17692.32003348214,1636.287121000744,59990.439396,56772.615755,103.588,114.6,356464.27645778004,1608758.29626178,3.25,119616.272,183394.3149,97.1217,240.229,3234.8,12708.4,0.37
2016-06-01,4.060268196192655,48.85318166559393,17754.867808948864,1637.2095191592261,66508.278398,60926.497367,106.333,114.8,363910.68328049005,1611043.39596949,3.25,125098.4723,188539.2959,100.4575,241.018,3247.0,12789.0,0.38
2016-07-01,4.005223773774647,44.799499702453616,18341.182421875,1658.8779039884869,60067.303412,57967.604002,104.235,115.1,354250.9256866301,1598473.0772146299,3.0,115804.9812,181779.3626,98.7039,240.628,3244.7,12850.1,0.39
2016-08-01,4.021360926006151,44.79913081293521,18495.1875,1678.1818237304688,67667.606708,59044.699902,103.132,115.6,354935.38282033,1600710.6652563298,3.0,122657.9004,193986.7119,100.9294,240.849,3319.0,12946.7,0.4
2016-09-01,4.105904535813765,45.225714365641274,18267.402994791668,1669.8765014648438,68182.138079,60468.803189,104.638,115.3,358242.86637193,1620227.39195293,3.0,124482.7466,185985.6024,99.4425,241.428,3296.4,13016.2,0.4
2016-10-01,4.171314262208485,49.86949996948242,18184.546409970237,1667.4460021972657,69334.232068,59452.047169,109.175,115.7,360901.06870788,1629123.2065428798,3.0,128525.2882,191999.704,98.8386,241.729,3327.7,13079.4,0.4
2016-11-01,4.338659113103693,45.881999778747556,18697.326636904763,1637.0168179598722,72971.032724,63857.551154,106.408,116.8,368313.77002989,1634216.72678089,3.0,122999.2305,191156.6713,97.7327,241.353,3328.5,13191.8,0.41
2016-12-01,4.456063639033925,52.16571499052502,19712.423735119046,1632.9745056152344,75801.473347,66831.08362399999,108.95,116.8,380860.63263999997,1647269.478236,3.0,126614.3558,183716.473,98.8012,241.432,3384.0,13299.9,0.54
2017-01-01,4.454604539004239,52.608499717712405,19908.1525390625,1669.4035034179688,70309.404589,65439.555215,108.212,118.1,387127.66383307,1661936.6825840701,3.0,117528.0215,185653.6945,98.6971,242.839,3388.6,13281.6,0.65
